Name,State,Latitude,Longitude,Status,Commodity Group
Hampton,WA,-30.4663,122.0392,Mineral deposit,Nickel +/- Cobalt +/- PGE
Homeville,NSW,-32.0105,147.0487,Mineral deposit,Nickel +/- Cobalt +/- PGE
Honeymoon Well,WA,-26.9200,120.3790,Mineral deposit,Nickel +/- Cobalt +/- PGE
Hurlls Hill,NSW,-31.4809,152.8674,Mineral deposit,Scandium +/- Cobalt +/- PGE +/- Nickel
Irwin-Coglia,WA,-29.1547,123.0460,Mineral deposit,Nickel +/- Cobalt +/- PGE
Jericho,WA,-27.3899,120.5755,Mineral deposit,Nickel +/- Cobalt +/- PGE
Jimberlana,WA,-32.2370,120.4542,Mineral deposit,Nickel +/- Cobalt +/- PGE
John Galt,WA,-17.3458,128.2013,Mineral deposit,Rare Earth Elements (REE)
Julimar,WA,-31.5216,116.2102,Mineral deposit,Platinum Group Elements (PGE) +/- Cobalt +/- Nickel
Koppamurra,SA,-36.8278,140.8489,Mineral deposit,Rare Earth Elements (REE)
Korella,QLD,-21.9388,139.9757,Mineral deposit,Rare Earth Elements (REE)
Lagoon Hill,QLD,-23.0744,150.2192,Mineral deposit,Nickel +/- Cobalt +/- PGE
Lake Rebecca,WA,-30.0655,122.3570,Mineral deposit,Nickel +/- Cobalt +/- PGE
Lanfranchi,WA,-31.5055,121.8429,Mine - care and maintenance,Nickel +/- Cobalt +/- PGE
Larkin Find,WA,-29.4663,122.2577,Mineral deposit,Nickel +/- Cobalt +/- PGE
Leinster,WA,-28.1674,120.9166,Operating mine,Nickel +/- Cobalt +/- PGE
Lucky Break,QLD,-19.4796,145.6908,Mineral deposit,Nickel +/- Cobalt +/- PGE
Lyons,WA,-23.9875,116.3505,Mineral deposit,Rare Earth Elements (REE)
Maggie Hays,WA,-32.2225,120.5170,Mine - care and maintenance,Nickel +/- Cobalt +/- PGE
Mangaroon,WA,-23.9560,116.0330,Mineral deposit,Rare Earth Elements (REE)
Marriott,WA,-28.4491,120.9915,Mineral deposit,Nickel +/- Cobalt +/- PGE
Mary Kathleen,QLD,-20.7155,140.0040,Mineral deposit,Rare Earth Elements (REE)
Mawson,WA,-30.7375,124.4468,Mineral deposit,Nickel +/- Cobalt +/- PGE
Melba Flats,TAS,-41.8500,145.3833,Mineral deposit,Nickel +/- Cobalt +/- PGE
Milo,QLD,-20.7587,140.2222,Mineral deposit,Rare Earth Elements (REE)
Mineral Patch Hill,WA,-29.0369,122.9846,Mineral deposit,Nickel +/- Cobalt +/- PGE
Miriam,WA,-31.0712,121.0878,Mineral deposit,Nickel +/- Cobalt +/- PGE
Mission Sill,WA,-32.2016,121.6646,Mineral deposit,Nickel +/- Cobalt +/- PGE
Mitre Hill,VIC,-37.2254,140.9960,Mineral deposit,Rare Earth Elements (REE)
Mount Cobalt,QLD,-26.1962,152.2759,Mineral deposit,Nickel +/- Cobalt +/- PGE
Mount Fitch,NT,-12.9468,130.9483,Mineral deposit,Nickel +/- Cobalt +/- PGE
Mount Jewell,WA,-30.1804,121.4560,Mineral deposit,Nickel +/- Cobalt +/- PGE
Mount Keith,WA,-27.2296,120.5417,Operating mine,Nickel +/- Cobalt +/- PGE
Mount Margaret,WA,-28.3119,120.9861,Mineral deposit,Nickel +/- Cobalt +/- PGE
Mount Martin,WA,-31.0089,121.6800,Mineral deposit,Nickel +/- Cobalt +/- PGE
Mount Sholl,WA,-20.9123,116.8921,Mineral deposit,Nickel +/- Cobalt +/- PGE
Mount Thirsty,WA,-32.1019,121.6478,Mineral deposit,Nickel +/- Cobalt +/- PGE
Mount Weld,WA,-28.8599,122.5475,Operating mine,"REE, Zirconium, Niobium, +/- Hafnium, Lithium, Tantalum, Gallium"
Mount Windarra,WA,-28.4852,122.2330,Mine - care and maintenance,Nickel +/- Cobalt +/- PGE
Mulga Rock,WA,-29.9043,123.5920,Mineral deposit,Scandium +/- Cobalt +/- PGE +/- Nickel
Munni Munni,WA,-21.1170,116.8296,Mineral deposit,Platinum Group Elements (PGE) +/- Cobalt +/- Nickel
Murrin Murrin,WA,-28.7668,121.8930,Operating mine,Nickel +/- Cobalt +/- PGE
Nanadie Well,WA,-27.1599,118.9485,Mineral deposit,Nickel +/- Cobalt +/- PGE
Narraburra,NSW,-34.3162,147.5551,Mineral deposit,"REE, Zirconium, Niobium, +/- Hafnium, Lithium, Tantalum, Gallium"
Nebo-Babel,WA,-26.0954,127.7274,Mine - under development,Nickel +/- Cobalt +/- PGE
Nepean,WA,-31.1637,121.0857,Mineral deposit,Nickel +/- Cobalt +/- PGE
Nico Young,NSW,-34.1725,148.0808,Mineral deposit,Nickel +/- Cobalt +/- PGE
NiWest,WA,-28.8633,121.7930,Mineral deposit,Nickel +/- Cobalt +/- PGE
NMBD,WA,-32.4504,119.6801,Mineral deposit,Nickel +/- Cobalt +/- PGE
Nolans Bore,NT,-22.5821,133.2399,Mine - under development,Rare Earth Elements (REE)
North Stanmore,WA,-27.3457,117.9099,Mineral deposit,Rare Earth Elements (REE)
Northern Operations,WA,-31.1690,121.6514,Operating mine,Nickel +/- Cobalt +/- PGE
Nova-Bollinger,WA,-31.8199,123.1924,Operating mine,Nickel +/- Cobalt +/- PGE
Nyngan,NSW,-31.6090,146.9937,Mineral deposit,Scandium +/- Cobalt +/- PGE +/- Nickel
O'Connor,WA,-33.1871,122.8422,Mineral deposit,Rare Earth Elements (REE)
Olympia,WA,-26.8204,122.1873,Mineral deposit,Nickel +/- Cobalt +/- PGE
Olympic Dam,SA,-30.4403,136.8894,Operating mine,Rare Earth Elements (REE)
Owendale,NSW,-32.5750,147.3844,Mine - under development,Scandium +/- Cobalt +/- PGE +/- Nickel
Pacific Express,NSW,-31.5205,152.7904,Mineral deposit,Scandium +/- Cobalt +/- PGE +/- Nickel
Panton,WA,-17.7515,127.8316,Mineral deposit,Platinum Group Elements (PGE) +/- Cobalt +/- Nickel
Parks Reef,WA,-26.8450,117.7392,Mineral deposit,Platinum Group Elements (PGE) +/- Cobalt +/- Nickel
Pelican,WA,-28.7789,122.5753,Mineral deposit,Nickel +/- Cobalt +/- PGE
Pinnacles,WA,-30.2758,122.3242,Mineral deposit,Nickel +/- Cobalt +/- PGE
Pioneer,WA,-31.9697,121.6431,Mineral deposit,Nickel +/- Cobalt +/- PGE
Pyke Hill,WA,-29.0521,122.1529,Mineral deposit,Nickel +/- Cobalt +/- PGE
Quicksilver,WA,-32.7435,118.6678,Mineral deposit,Nickel +/- Cobalt +/- PGE
Radio Hill,WA,-20.9825,116.8648,Mine - care and maintenance,Nickel +/- Cobalt +/- PGE
Range Well,WA,-26.8212,117.7396,Mineral deposit,"Chromium +/- Cobalt, +/- PGE +/- Nickel"
Ravensthorpe,WA,-33.6421,120.3963,Operating mine,Nickel +/- Cobalt +/- PGE
Riverina,WA,-29.7493,120.5596,Mineral deposit,Nickel +/- Cobalt +/- PGE
Rosie,WA,-27.6246,122.0143,Mineral deposit,Nickel +/- Cobalt +/- PGE
Ruth Well,WA,-20.8684,116.8655,Mineral deposit,Nickel +/- Cobalt +/- PGE
Saints,WA,-29.9986,121.1853,Mineral deposit,Nickel +/- Cobalt +/- PGE
Savannah,WA,-17.3526,128.0277,Operating mine,Nickel +/- Cobalt +/- PGE
Sconi,QLD,-18.9721,144.9267,Mine - under development,Scandium +/- Cobalt +/- PGE +/- Nickel
